archive_class_iri,archive_defined_in,mapped_class_iri,mapped_defined_in,mapping_type,notes
https://w3id.org/itsdata/location/v1/AlertCArea,docs/archive/alertC-location-pattern.ttl,,,unmapped,
https://w3id.org/itsdata/location/v1/AlertCDirection,docs/archive/alertC-location-pattern.ttl,,,unmapped,
https://w3id.org/itsdata/location/v1/AlertCDirectionEnum,docs/archive/alertC-location-pattern.ttl,,,unmapped,
https://w3id.org/itsdata/location/v1/AlertCLinearByCode,docs/archive/alertC-location-pattern.ttl,,,unmapped,
https://w3id.org/itsdata/location/v1/AlertCLocation,docs/archive/alertC-location-pattern.ttl,https://w3id.org/itsdata/location/v1/AlertCLocation,docs/location-methods/adapters/alertc-adapter.ttl,exact,
https://w3id.org/itsdata/location/v1/AlertCMethod2Linear,docs/archive/alertC-location-pattern.ttl,,,unmapped,
https://w3id.org/itsdata/location/v1/AlertCMethod2Point,docs/archive/alertC-location-pattern.ttl,,,unmapped,
https://w3id.org/itsdata/location/v1/AlertCMethod2PrimaryPointLocation,docs/archive/alertC-location-pattern.ttl,,,unmapped,
https://w3id.org/itsdata/location/v1/AlertCMethod2SecondaryPointLocation,docs/archive/alertC-location-pattern.ttl,,,unmapped,
https://w3id.org/itsdata/location/v1/AlertCMethod4Linear,docs/archive/alertC-location-pattern.ttl,,,unmapped,
https://w3id.org/itsdata/location/v1/AlertCMethod4Point,docs/archive/alertC-location-pattern.ttl,,,unmapped,
https://w3id.org/itsdata/location/v1/AlertCMethod4PrimaryPointLocation,docs/archive/alertC-location-pattern.ttl,,,unmapped,
https://w3id.org/itsdata/location/v1/AlertCMethod4SecondaryPointLocation,docs/archive/alertC-location-pattern.ttl,,,unmapped,
https://w3id.org/itsdata/location/v1/AlertCPoint,docs/archive/alertC-location-pattern.ttl,,,unmapped,
https://w3id.org/itsdata/location/v1/AlertCThing,docs/archive/alertC-location-pattern.ttl,,,unmapped,
https://w3id.org/itsdata/location/v1/AltitudeAccuracyCode,docs/archive/location-pattern.ttl,,,unmapped,
https://w3id.org/itsdata/location/v1/AltitudeConfidence,docs/archive/location-pattern.ttl,https://w3id.org/itsdata/location/v1/AltitudeConfidence,docs/quality-pattern.ttl,exact,
https://w3id.org/itsdata/location/v1/Angle,docs/archive/kv-location-pattern.ttl,,,unmapped,
https://w3id.org/itsdata/location/v1/AngleUnit,docs/archive/kv-location-pattern.ttl,,,unmapped,
https://w3id.org/itsdata/location/v1/AreaDestination,docs/archive/location-pattern.ttl;docs/archive/output.ttl,,,unmapped,
https://w3id.org/itsdata/location/v1/AreaLocation,docs/archive/location-pattern.ttl;docs/archive/output.ttl,https://w3id.org/itsdata/location/v1/AreaLocation,docs/area-location-pattern.ttl,exact,
https://w3id.org/itsdata/location/v1/AreaPlacesCode,docs/archive/location-pattern.ttl;docs/archive/output.ttl,,,unmapped,
https://w3id.org/itsdata/location/v1/Carriageway,docs/archive/location-pattern.ttl,,,unmapped,
https://w3id.org/itsdata/location/v1/Destination,docs/archive/location-pattern.ttl;docs/archive/output.ttl,,,unmapped,
https://w3id.org/itsdata/location/v1/DirectionCode,docs/archive/kv-location-pattern.ttl;docs/archive/output.ttl,,,unmapped,
https://w3id.org/itsdata/location/v1/DirectionPurposeCode,docs/archive/location-pattern.ttl,,,unmapped,
https://w3id.org/itsdata/location/v1/ExternalReference,docs/archive/kv-external-location-pattern.ttl,https://w3id.org/itsdata/location/v1/ExternalReference,docs/external-id-location-pattern.ttl,exact,
https://w3id.org/itsdata/location/v1/ExternalReferencing,docs/archive/output.ttl,,,unmapped,
https://w3id.org/itsdata/location/v1/GeographicCharacteristicCode,docs/archive/kv-location-pattern.ttl,,,unmapped,
https://w3id.org/itsdata/location/v1/HeightCoordinate,docs/archive/location-pattern.ttl,,,unmapped,
https://w3id.org/itsdata/location/v1/HeightTypeCode,docs/archive/location-pattern.ttl,,,unmapped,
