datex_complexType,its_equivalent_iri,mapping_type,notes
AlertCArea,,unmapped,
AlertCDirection,,unmapped,
AlertCLinear,,unmapped,
AlertCLinearByCode,,unmapped,
AlertCLocation,https://w3id.org/itsdata/location/v1/AlertCLocation,exact_name,
AlertCMethod2Linear,,unmapped,
AlertCMethod2Point,,unmapped,
AlertCMethod2PrimaryPointLocation,,unmapped,
AlertCMethod2SecondaryPointLocation,,unmapped,
AlertCMethod4Linear,,unmapped,
AlertCMethod4Point,,unmapped,
AlertCMethod4PrimaryPointLocation,,unmapped,
AlertCMethod4SecondaryPointLocation,,unmapped,
AlertCPoint,,unmapped,
AltitudeConfidence,https://w3id.org/itsdata/location/v1/AltitudeConfidence,exact_name,
AreaDestination,,unmapped,
AreaLocation,https://w3id.org/itsdata/location/v1/AreaLocation,exact_name,
Carriageway,,unmapped,
Destination,,unmapped,
DistanceAlongLinearElement,,unmapped,
DistanceFromLinearElementReferent,,unmapped,
DistanceFromLinearElementStart,,unmapped,
ExternalReferencing,https://w3id.org/itsdata/location/v1/ExternalReference,rename,
GmlLineString,,unmapped,
GmlLinearRing,,unmapped,
GmlMultiPolygon,,unmapped,
GmlPolygon,,unmapped,
HeightCoordinate,,unmapped,
IsoNamedArea,,unmapped,
Itinerary,https://w3id.org/itsdata/location/v1/Itinerary,exact_name,
ItineraryByIndexedLocations,,unmapped,
ItineraryByReference,,unmapped,
Lane,,unmapped,
LinearElement,,unmapped,
LinearElementByCode,,unmapped,
LinearElementByLineString,,unmapped,
LinearElementByPoints,,unmapped,
LinearLocation,https://w3id.org/itsdata/location/v1/LinearLocation,exact_name,
LinearWithinLinearElement,,unmapped,
Location,https://w3id.org/itsdata/location/v1/Location,exact_name,
LocationByReference,,unmapped,
LocationGroup,https://w3id.org/itsdata/location/v1/LocationGroup,exact_name,
LocationGroupByList,,unmapped,
LocationGroupByReference,,unmapped,
LocationReference,https://w3id.org/itsdata/location/v1/LocationReference,exact_name,
NamedArea,,unmapped,
NetworkLocation,https://w3id.org/itsdata/location/v1/NetworkLocation,exact_name,
NutsNamedArea,,unmapped,
OffsetDistance,https://w3id.org/itsdata/location/v1/OffsetDistance,exact_name,
OpenlrAreaLocationReference,,unmapped,
OpenlrBasePointLocation,,unmapped,
OpenlrBaseReferencePoint,,unmapped,
OpenlrCircleLocationReference,,unmapped,
OpenlrClosedLineLocationReference,,unmapped,
OpenlrGeoCoordinate,,unmapped,
OpenlrGridLocationReference,,unmapped,
OpenlrLastLocationReferencePoint,,unmapped,
OpenlrLineAttributes,,unmapped,
OpenlrLineLocationReference,,unmapped,
OpenlrLinear,,unmapped,
OpenlrLocationReferencePoint,,unmapped,
OpenlrOffsets,,unmapped,
OpenlrPathAttributes,,unmapped,
OpenlrPoiWithAccessPoint,,unmapped,
OpenlrPointAlongLine,,unmapped,
OpenlrPointLocationReference,,unmapped,
OpenlrPolygonCorners,,unmapped,
OpenlrPolygonLocationReference,,unmapped,
OpenlrRectangle,,unmapped,
OpenlrRectangleLocationReference,,unmapped,
PercentageDistanceAlongLinearElement,,unmapped,
PointAlongLinearElement,,unmapped,
PointByCoordinates,,unmapped,
PointCoordinates,https://w3id.org/itsdata/location/v1/PointCoordinates,exact_name,
PointDestination,,unmapped,
PointLocation,,unmapped,
PositionAccuracy,https://w3id.org/itsdata/location/v1/PositionAccuracy,exact_name,
PositionConfidenceEllipse,https://w3id.org/itsdata/location/v1/PositionConfidenceEllipse,exact_name,
PredefinedItinerary,,unmapped,
PredefinedLocation,,unmapped,
PredefinedLocationGroup,,unmapped,
PredefinedLocationReference,,unmapped,
PredefinedLocationsPublication,,unmapped,
Referent,,unmapped,
RoadInformation,,unmapped,
SingleRoadLinearLocation,,unmapped,
SupplementaryPositionalDescription,,unmapped,
TpegAreaDescriptor,,unmapped,
TpegAreaLocation,,unmapped,
TpegDescriptor,,unmapped,
TpegFramedPoint,,unmapped,
TpegGeometricArea,,unmapped,
TpegHeight,,unmapped,
TpegIlcPointDescriptor,,unmapped,
TpegJunction,,unmapped,
TpegJunctionPointDescriptor,,unmapped,
TpegLinearLocation,,unmapped,
TpegNamedOnlyArea,,unmapped,
TpegNonJunctionPoint,,unmapped,
TpegOtherPointDescriptor,,unmapped,
TpegPoint,,unmapped,
TpegPointDescriptor,,unmapped,
TpegPointLocation,,unmapped,
TpegSimplePoint,,unmapped,
